gene_id,gene_symbol,id_type
ENSRNOG00000066818,,ensembl
ENSRNOG00000071202,,ensembl
LOC679731,LOC679731,symbol
AABR07001348.1,AABR07001348.1,symbol
Ppp1r14c,Ppp1r14c,symbol
Iyd,Iyd,symbol
Plekhg1,Plekhg1,symbol
ENSRNOG00000070419,,ensembl
Mthfd1l,Mthfd1l,symbol
ENSRNOG00000066334,,ensembl
LOC120100178,LOC120100178,symbol
Akap12,Akap12,symbol
Zbtb2,Zbtb2,symbol
Rmnd1,Rmnd1,symbol
Armt1,Armt1,symbol
Ccdc170,Ccdc170,symbol
LOC120099108,LOC120099108,symbol
Esr1,Esr1,symbol
LOC120100474,LOC120100474,symbol
Syne1,Syne1,symbol
Rnu6-959,Rnu6-959,symbol
Myct1,Myct1,symbol
Vip,Vip,symbol
Fbxo5,Fbxo5,symbol
Mtrf1l,Mtrf1l,symbol
LOC120100395,LOC120100395,symbol
LOC120100394,LOC120100394,symbol
Rgs17,Rgs17,symbol
AABR07001408.1,AABR07001408.1,symbol
ENSRNOG00000070385,,ensembl
LOC120100475,LOC120100475,symbol
Oprm1,Oprm1,symbol
Ipcef1,Ipcef1,symbol
Cnksr3,Cnksr3,symbol
ENSRNOG00000065637,,ensembl
AABR07001435.1,AABR07001435.1,symbol
Rnu6-859,Rnu6-859,symbol
Scaf8,Scaf8,symbol
ENSRNOG00000068809,,ensembl
Tiam2,Tiam2,symbol
Tfb1m,Tfb1m,symbol
Cldn20,Cldn20,symbol
Nox3,Nox3,symbol
ENSRNOG00000064039,,ensembl
Arid1b,Arid1b,symbol
Ldhal6b,Ldhal6b,symbol
Tmem242,Tmem242,symbol
ENSRNOG00000067318,,ensembl
Zdhhc14,Zdhhc14,symbol
Snx9,Snx9,symbol
Synj2,Synj2,symbol
Serac1,Serac1,symbol
Gtf2h5,Gtf2h5,symbol
ENSRNOG00000070309,,ensembl
Tulp4,Tulp4,symbol
ENSRNOG00000065858,,ensembl
ENSRNOG00000070335,,ensembl
Tmem181,Tmem181,symbol
Dynlt1,Dynlt1,symbol
Sytl3,Sytl3,symbol
Ezr,Ezr,symbol
Rnu6-546,Rnu6-546,symbol
Rsph3,Rsph3,symbol
Tagap,Tagap,symbol
Fndc1,Fndc1,symbol
Sod2,Sod2,symbol
Wtap,Wtap,symbol
Acat2,Acat2,symbol
Acat2l1,Acat2l1,symbol
ENSRNOG00000069754,,ensembl
Tcp1,Tcp1,symbol
Snora20,Snora20,symbol
Snora29,Snora29,symbol
Mrpl18,Mrpl18,symbol
Pnldc1,Pnldc1,symbol
Mas1,Mas1,symbol
Igf2r,Igf2r,symbol
LOC120100462,LOC120100462,symbol
Slc22a1,Slc22a1,symbol
Slc22a2,Slc22a2,symbol
Slc22a3,Slc22a3,symbol
Plg,Plg,symbol
AABR07001512.1,AABR07001512.1,symbol
Map3k4,Map3k4,symbol
LOC120100432,LOC120100432,symbol
Agpat4,Agpat4,symbol
Prkn,Prkn,symbol
Pacrg,Pacrg,symbol
Qki,Qki,symbol
ENSRNOG00000066713,,ensembl
Pabpc6,Pabpc6,symbol
LOC120100334,LOC120100334,symbol
MGC94891,MGC94891,symbol
Pde10a,Pde10a,symbol
Tbxt,Tbxt,symbol
T2,T2,symbol
ENSRNOG00000066810,,ensembl
Prr18,Prr18,symbol
Sft2d1,Sft2d1,symbol
Mpc1,Mpc1,symbol
Ccr6,Ccr6,symbol
Cep43,Cep43,symbol
Rnaset2,Rnaset2,symbol
Rps6ka2,Rps6ka2,symbol
LOC120093055,LOC120093055,symbol
Tcp10b,Tcp10b,symbol
Ttll2,Ttll2,symbol
Unc93a,Unc93a,symbol
LOC120100245,LOC120100245,symbol
RGD1560718,RGD1560718,symbol
ENSRNOG00000064778,,ensembl
LOC102546375,LOC102546375,symbol
ENSRNOG00000069125,,ensembl
ENSRNOG00000067148,,ensembl
ENSRNOG00000063130,,ensembl
ENSRNOG00000067291,,ensembl
ENSRNOG00000068440,,ensembl
Smok2a,Smok2a,symbol
ENSRNOG00000070787,,ensembl
LOC120100105,LOC120100105,symbol
Rnu6-75,Rnu6-75,symbol
ENSRNOG00000067561,,ensembl
ENSRNOG00000067503,,ensembl
Rnu6-395,Rnu6-395,symbol
LOC108348488,LOC108348488,symbol
ENSRNOG00000066099,,ensembl
AABR07001592.2,AABR07001592.2,symbol
Afdn,Afdn,symbol
LOC102556715,LOC102556715,symbol
Y_RNA,Y_RNA,symbol
Vom2r7,Vom2r7,symbol
ENSRNOG00000069666,,ensembl
Vom1r1,Vom1r1,symbol
Rnu6-894,Rnu6-894,symbol
Vom2r8,Vom2r8,symbol
Vom2r9,Vom2r9,symbol
ENSRNOG00000069390,Smokyl-ps1,ensembl
LOC685793,LOC685793,symbol
LOC100910657,LOC100910657,symbol
ENSRNOG00000067989,,ensembl
ENSRNOG00000069855,,ensembl
ENSRNOG00000067256,LOC134485065,ensembl
Dact2,Dact2,symbol
Smoc2,Smoc2,symbol
Thbs2,Thbs2,symbol
LOC108348724,LOC108348724,symbol
Wdr27,Wdr27,symbol
LOC100125364,LOC100125364,symbol
Phf10,Phf10,symbol
Dynlt2,Dynlt2,symbol
Ermard,Ermard,symbol
ENSRNOG00000065835,,ensembl
Dll1,Dll1,symbol
Fam120b,Fam120b,symbol
Psmb1,Psmb1,symbol
Tbp,Tbp,symbol
Pdcd2,Pdcd2,symbol
Prdm9,Prdm9,symbol
ENSRNOG00000070842,,ensembl
Chd1,Chd1,symbol
Rgmb,Rgmb,symbol
LOC120100349,LOC120100349,symbol
LOC120100130,LOC120100130,symbol
ENSRNOG00000066612,,ensembl
Riok2,Riok2,symbol
Lix1,Lix1,symbol
Lnpep,Lnpep,symbol
ENSRNOG00000064980,,ensembl
LOC102552823,LOC102552823,symbol
ENSRNOG00000062758,,ensembl
Mir99b,Mir99b,symbol
Mir3596c,Mir3596c,symbol
Mir125a,Mir125a,symbol
Spaca6,Spaca6,symbol
Has1,Has1,symbol
LOC120100140,LOC120100140,symbol
Fpr1,Fpr1,symbol
Fpr2,Fpr2,symbol
Fpr3,Fpr3,symbol
Fpr2l3,Fpr2l3,symbol
Vom2r10,Vom2r10,symbol
Fpr2l2,Fpr2l2,symbol
Vom1r2,Vom1r2,symbol
Vom1r3,Vom1r3,symbol
Vom2r11,Vom2r11,symbol
Vom1r-ps8,Vom1r-ps8,symbol
Vom1r5,Vom1r5,symbol
Vom2r8,Vom2r8,symbol
Fpr2l1,Fpr2l1,symbol
Vom1r6,Vom1r6,symbol
Vom1r7,Vom1r7,symbol
Taf5l-ps1,Taf5l-ps1,symbol
ENSRNOG00000062663,,ensembl
ENSRNOG00000066765,,ensembl
ENSRNOG00000065947,,ensembl
Vom1r10,Vom1r10,symbol
Vom1r11,Vom1r11,symbol
Vom1r12,Vom1r12,symbol
Vom1r9,Vom1r9,symbol
ENSRNOG00000068514,,ensembl
LOC681990,LOC681990,symbol
Vom1r15,Vom1r15,symbol
ENSRNOG00000066205,,ensembl
